Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
4/23/2020,"2,083","10,043",6.6,0,"1,159",198,37,46,"1,011"
4/22/2020,"1,855","7,208",3.78,0,"1,227",171,5,37,708
4/21/2020,"1,862","7,085",3.56,0,"1,243",131,24,42,707
4/20/2020,"1,500","1,777",0.8,0,"1,326",114,0,0,289
4/19/2020,"1,687","6,465",3.46,0,"1,294",106,5,35,524
4/18/2020,"1,836","6,111",2.68,0,"1,197",231,10,2,743
4/17/2020,"1,957","10,054",5.02,0,938,222,3,36,872
4/16/2020,"1,544","5,216",2.96,0,"1,281",25,4,38,326
4/15/2020,"1,905","5,806",2.54,0,"1,150",290,0,0,845
4/14/2020,"1,929","5,766",2.55,0,"1,162",278,0,0,848
4/13/2020,"1,847","4,344",1.92,0,"1,214",218,7,1,696
4/12/2020,"1,750","2,137",0.93,0,"1,273",122,34,11,578
4/11/2020,"2,202","7,655",3.34,0,"1,058",327,49,6,"1,242"
4/10/2020,"1,825","7,201",3.47,0,"1,244",140,16,40,686
4/9/2020,"1,666","2,745",1.16,0,"1,282",147,9,2,489
4/8/2020,"1,611","2,225",0.97,0,"1,289",137,11,3,413
4/7/2020,"2,148","10,326",5.39,0,"1,169",218,5,48,"1,025"
4/6/2020,"1,945","7,990",4.12,0,"1,224",169,6,41,810
4/5/2020,"1,948","9,260",4.58,0,"1,247",107,24,62,819
4/4/2020,"1,790","4,627",1.98,0,"1,234",180,26,0,670
4/3/2020,"1,548","3,036",1.33,0,"1,311",129,0,0,347
4/2/2020,"1,268",0,0,0,"1,440",0,0,0,0
4/1/2020,"1,856","7,246",3.65,0,"1,235",161,0,44,723
3/31/2020,"1,702","4,096",1.79,0,760,168,10,0,518
3/30/2020,"1,836","7,503",3.65,0,"1,242",149,12,37,675
3/29/2020,"1,534","4,902",2.15,0,"1,366",39,2,33,316
3/28/2020,"1,697","4,591",2.05,0,"1,096",151,9,1,535
3/27/2020,"1,752","7,569",3.82,0,"1,263",144,2,31,607
3/26/2020,"1,619","3,996",1.72,0,"1,221",158,0,0,459
3/25/2020,"1,693","4,149",1.83,0,"1,250",190,0,0,544
3/24/2020,"1,862","8,885",4.41,0,"1,238",145,18,39,736
3/23/2020,"1,682","6,183",2.75,0,"1,292",112,6,30,496
3/22/2020,"1,507","2,803",1.18,0,"1,326",114,0,0,323
3/21/2020,"1,691","3,650",1.59,0,"1,151",197,0,0,568
3/20/2020,"1,671","4,737",2.05,0,"1,272",168,0,0,511
3/19/2020,"1,644","3,663",1.6,0,"1,290",143,4,3,454
3/18/2020,"1,509","1,952",0.85,0,"1,327",113,0,0,301
3/17/2020,"1,784","4,150",1.81,0,"1,242",172,17,9,622
3/16/2020,"1,617","2,764",1.21,0,"1,293",147,0,0,437
3/15/2020,"1,765","5,136",2.24,0,"1,142",196,6,0,639
3/14/2020,"2,098","11,222",4.93,0,"1,147",257,33,3,"1,041"
3/13/2020,"1,656","3,246",1.4,0,"1,295",145,0,0,459
3/12/2020,"1,796","6,624",4.2,0,"1,259",133,21,27,629
3/11/2020,"2,037","9,356",5.07,0,"1,156",233,17,34,936
3/10/2020,"2,543","8,092",4.21,0,883,511,19,27,"1,736"
3/9/2020,"1,395","2,506",1.09,0,"1,376",52,8,4,171
3/8/2020,"1,502","2,524",1.1,0,"1,366",48,20,6,273
3/7/2020,"1,589","1,716",0.75,0,"1,322",101,4,13,386
3/6/2020,"1,521","2,275",0.99,0,"1,334",106,0,0,293
3/5/2020,"1,477","3,570",1.62,0,"1,363",77,0,0,265
3/4/2020,"1,502","3,443",1.49,0,"1,353",68,9,10,299
3/3/2020,"1,368","1,436",0.63,0,"1,402",38,0,0,125
3/2/2020,"1,685","5,801",2.55,0,"1,321",82,7,30,505
3/1/2020,"1,423","2,050",0.88,0,"1,373",67,0,0,194
2/29/2020,"1,530","2,093",0.91,0,"1,167",113,0,0,304
2/28/2020,"1,625","4,959",2.12,0,"1,214",127,0,0,439
2/27/2020,"1,563","3,358",1.48,0,"1,344",83,3,10,316
2/26/2020,"1,778","7,495",3.39,0,"1,260",141,21,18,616
2/25/2020,"1,650","6,102",2.74,0,"1,326",73,18,23,452
2/24/2020,"1,634","5,806",2.59,0,"1,345",66,5,24,419
2/23/2020,"1,794","4,380",1.91,0,"1,258",135,32,15,652
2/22/2020,"1,869","5,952",2.56,0,"1,214",205,10,11,758
2/21/2020,"1,795","4,841",2.13,0,"1,220",208,6,6,640
2/20/2020,"1,520","3,839",1.73,0,"1,357",83,0,0,303
2/19/2020,"1,479","2,587",1.19,0,"1,373",67,0,0,240
2/18/2020,"1,460","2,910",1.32,0,"1,384",56,0,0,219
2/17/2020,"1,526","2,984",1.24,0,"1,351",81,2,6,307
2/16/2020,"1,284",0,0,0,"1,440",0,0,0,0
2/15/2020,"1,610","3,108",1.36,0,"1,190",108,14,3,401
2/14/2020,"1,699","3,001",1.31,0,"1,157",172,0,0,503
2/13/2020,"1,587","3,086",1.31,0,887,115,0,0,363
2/12/2020,"1,858","5,724",2.52,0,"1,201",227,8,4,713
2/11/2020,"1,845","6,288",2.75,0,"1,203",207,23,7,716
2/10/2020,"1,507","3,860",1.71,0,"1,368",72,0,0,278
2/9/2020,"1,670","2,632",1.15,0,664,125,21,5,494
2/8/2020,"2,105","9,151",3.99,0,"1,144",214,73,9,"1,055"
2/7/2020,"1,558","3,250",1.4,0,"1,327",113,0,0,327
2/6/2020,"1,434","2,571",1.16,0,"1,396",34,3,7,182
2/5/2020,"1,604","5,452",3.48,0,"1,344",69,9,18,394
2/4/2020,"1,991","8,208",5.39,0,"1,222",152,26,40,843
2/3/2020,"1,773","7,028",3.14,0,"1,253",161,10,16,609
2/2/2020,"1,446","1,696",0.74,0,"1,359",81,0,0,220
2/1/2020,"1,591","3,856",1.68,0,"1,308",132,0,0,405
1/31/2020,"1,530","3,727",1.65,0,"1,357",83,0,0,301
1/30/2020,"1,611","3,533",1.61,0,"1,324",116,0,0,380
1/29/2020,"1,767","5,351",2.37,0,"1,298",117,5,20,527
1/28/2020,"2,048","10,260",5.05,0,"1,237",125,29,49,877
1/27/2020,"1,723","4,128",1.79,0,"1,287",143,6,4,504
1/26/2020,"1,379",405,0.18,0,"1,417",23,0,0,71
1/25/2020,"1,939","6,586",2.75,0,832,232,9,0,799
1/24/2020,"1,904","8,025",3.82,0,"1,232",198,2,8,737
1/23/2020,"1,771","7,195",3.29,0,"1,307",123,3,7,572
1/22/2020,"1,647","5,566",2.47,0,"1,339",101,0,0,429
1/21/2020,"1,627","3,536",1.56,0,"1,300",140,0,0,410
1/20/2020,"1,367",476,0.21,0,"1,404",36,0,0,90
1/19/2020,"1,708","4,535",1.98,0,"1,268",161,11,0,532
1/18/2020,"1,998","6,869",3.01,0,"1,177",263,0,0,880
1/17/2020,"1,653","3,028",1.3,0,882,157,10,2,475
1/16/2020,"1,905","10,173",4.95,0,"1,152",90,5,40,718
1/15/2020,"1,986","8,556",3.99,0,"1,239",171,7,23,779
1/14/2020,"1,973","7,716",3.37,0,"1,232",155,33,20,800
1/13/2020,"1,706","5,011",2.38,0,"1,304",136,0,0,502
1/12/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/11/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/10/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/9/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/8/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/7/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/6/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/5/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/4/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/3/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/2/2020,"1,299",0,0,0,"1,440",0,0,0,0
1/1/2020,"1,299",0,0,0,"1,440",0,0,0,0
